source,target,note
Daniel Larcher,达尼埃尔·拉尔谢,维勒纳夫市长/大夫
Hortense Larcher,奥尔唐斯·拉尔谢,达尼埃尔妻子
Marcel Larcher,马赛尔·拉尔谢,达尼埃尔弟弟，共产党员，党内代号保尔/Paul
Gustave Larcher,古斯塔夫·拉尔谢,马赛尔之子
Henri de Kervern,昂利·德·凯尔韦恩,警长，后被停职复职
Judith de Kervern,朱迪特·德·凯尔韦恩,昂利之妻，原姓莫尔朗热/Morhange，前女教师/歌手
Raymond Schwartz,雷蒙·施瓦茨,锯木厂/混凝土厂老板
Jeannine Schwartz,让尼娜·施瓦茨,施瓦茨妻子，娘家姓朗格卢瓦/Langlois
Marceau Schwartz,马尔索·施瓦茨,施瓦茨之子
Lucienne Borderie,吕西安娜·博尔德里,女教师
Eugène Borderie,欧仁·博尔德里,吕西安娜的父亲
Jules Bériot,于勒·贝里奥,学校校长，后与吕西安娜订婚
Kurt,库尔特,德国军士长，吕西安娜恋人，被调往基辅/东线
von Ritter (Helmut),冯·里特尔,前区司令官
Kollwitz,科尔维茨,新任区司令官
Heinrich Muller,海因里希·穆勒,安全处警察，奥尔唐斯情人，被调往明斯克/哈尔科夫前线
Ludwig,路德维希,穆勒勤务兵
Servier (Pierre),塞尔维耶,副省长
Jean Marchetti,让·马尔凯蒂,探长，后升任国家警察局长
Sarah Meyer,莎拉·梅耶,犹太女佣，被送收容营皮蒂维耶/博纳拉罗朗德
Albert Crémieux,阿尔贝·克雷米厄,犹太商人，搞抵抗传单
Hélène Crémieux,埃莱娜·克雷米厄,克雷米厄女儿
Marie Germain,玛丽·日尔曼,埃萨尔农妇/抵抗组织
Lorrain Germain,洛兰·日尔曼,玛丽丈夫，已故
Raoul,拉乌尔,玛丽的孩子
Justin,于斯坦,玛丽的孩子
Natasha/Odile,娜塔莎/奥迪尔,间谍/妓女
Cabernis (Louis),卡贝尔尼斯,雅利安化事务所，被施瓦茨杀害
Jérôme Michelet,杰罗姆·米什莱,塞尔维耶外甥，黑市犯
Clementine,克莱芒蒂娜,老拉尔谢家佣人
Joséphine,若瑟芬,施瓦茨家新女佣
Inès,伊内丝,施瓦茨秘书
Edmond Lherbier,埃德蒙·莱尔比耶,共产党干部
Léon,莱昂,共产党高层
Suzanne Richard,苏珊娜·理查,共产党员，假名吉赛尔·巴比耶/Giselle Barbier，被认定为叛徒但马赛尔放走
Yvon,伊冯,巴黎来的行动专家，本名加斯东/Gaston，戛纳人，被酷刑致死
Max,马克斯,共产党行动组成员
Gérard Fèvre,热拉尔·费弗尔,前国会议员/人质，被处决
Emilie Estabet,埃米莉·埃斯塔贝,贝尔特太太那的清洁工，被穆勒酷刑逼供，列为人质
Ernest,欧内斯特,同志，送马赛尔去莫瓦赛
Vernet,韦尔内,探长，后被调去档案室
Loriot (Antoine),洛里奥,警察
